Model Path,MSE_u,MSE_v,Relative Error_u (%),Relative Error_v (%),Residual_u (%),Residual_v (%),Lambda1,Lambda2,Error Lambda1,Error Lambda2
models/Re100/Re100_10000.npz,1.775125e-03,4.063479e-03,4.70%,22.94%,3.144719e-02,2.311528e-02,0.952626,0.014700,4.74%,47.00%
models/Re100/Re100_20000.npz,1.075317e-03,1.852852e-03,3.66%,15.49%,2.033499e-02,1.759135e-02,0.980488,0.012062,1.95%,20.62%
models/Re100/Re100_30000.npz,5.523599e-04,1.045770e-03,2.62%,11.64%,1.552609e-02,1.320405e-02,0.986440,0.011695,1.36%,16.95%
models/Re100/Re100_40000.npz,3.784284e-04,8.251301e-04,2.17%,10.34%,1.233273e-02,1.233967e-02,0.988835,0.011462,1.12%,14.62%
models/Re100/Re100_50000.npz,2.593880e-04,7.480436e-04,1.80%,9.84%,1.166133e-02,9.944435e-03,0.990540,0.011234,0.95%,12.34%
models/Re100/Re100_60000.npz,1.725132e-04,6.712216e-04,1.46%,9.32%,9.939275e-03,1.010850e-02,0.991453,0.011147,0.85%,11.47%
models/Re100/Re100_70000.npz,2.473437e-04,6.674223e-04,1.75%,9.30%,1.017406e-02,1.044746e-02,0.992518,0.011100,0.75%,11.00%
models/Re100/Re100_80000.npz,2.676696e-04,5.924999e-04,1.82%,8.76%,9.343451e-03,9.419069e-03,0.993391,0.011019,0.66%,10.19%
models/Re100/Re100_90000.npz,2.093610e-04,6.050890e-04,1.61%,8.85%,8.817611e-03,9.443200e-03,0.994129,0.011001,0.59%,10.01%
"models/Re100_TLwcp150_[1, 2]/Re100_10000_TL150_100000.npz",8.003055e-02,1.085645e-01,31.54%,118.56%,1.485563e-01,2.596017e-01,0.946504,0.013205,5.35%,32.05%
"models/Re100_TLwcp150_[1, 2]/Re100_10000_TL150_100000.npz",8.003055e-02,1.085645e-01,31.54%,118.56%,1.485563e-01,2.596017e-01,0.946504,0.013205,5.35%,32.05%
"models/Re100_TLwcp150_[1, 2]/Re100_10000_TL150_200000.npz",7.633599e-02,1.070031e-01,30.80%,117.70%,1.055297e-01,1.951575e-01,0.899326,0.004496,10.07%,55.04%
"models/Re100_TLwcp150_[1, 2]/Re100_20000_TL150_100000.npz",7.529000e-02,1.085664e-01,30.59%,118.56%,1.189366e-01,2.819289e-01,0.850757,-0.004248,14.92%,142.48%
"models/Re100_TLwcp150_[1, 2]/Re100_20000_TL150_200000.npz",7.672943e-02,1.066064e-01,30.88%,117.48%,9.490705e-02,1.658217e-01,0.846165,0.005598,15.38%,44.02%
"models/Re100_TLwcp150_[1, 2]/Re100_30000_TL150_100000.npz",7.712925e-02,1.076542e-01,30.96%,118.06%,1.244127e-01,2.925008e-01,0.930869,0.016077,6.91%,60.77%
"models/Re100_TLwcp150_[1, 2]/Re100_30000_TL150_200000.npz",7.726862e-02,1.074204e-01,30.99%,117.93%,1.026005e-01,2.111511e-01,0.964620,0.008164,3.54%,18.36%
"models/Re100_TLwcp150_[1, 2]/Re100_40000_TL150_100000.npz",7.540943e-02,1.044246e-01,30.62%,116.28%,1.098550e-01,1.777270e-01,0.971905,0.005915,2.81%,40.85%
"models/Re100_TLwcp150_[1, 2]/Re100_40000_TL150_200000.npz",7.619512e-02,1.078482e-01,30.78%,118.17%,7.962343e-02,1.543387e-01,0.963101,0.005279,3.69%,47.21%
"models/Re100_TLwcp150_[1, 2]/Re100_50000_TL150_100000.npz",7.436672e-02,1.061129e-01,30.40%,117.21%,1.143668e-01,1.932107e-01,0.994497,0.017941,0.55%,79.41%
"models/Re100_TLwcp150_[1, 2]/Re100_50000_TL150_200000.npz",7.703997e-02,1.076193e-01,30.95%,118.04%,1.040066e-01,2.048317e-01,0.971475,0.014158,2.85%,41.58%
"models/Re100_TLwcp150_[1, 2]/Re100_60000_TL150_100000.npz",7.638795e-02,1.077593e-01,30.82%,118.12%,9.123566e-02,2.077814e-01,0.803884,0.006169,19.61%,38.31%
"models/Re100_TLwcp150_[1, 2]/Re100_60000_TL150_200000.npz",7.611927e-02,1.071830e-01,30.76%,117.80%,7.087506e-02,1.605117e-01,0.884015,0.013212,11.60%,32.12%
"models/Re100_TLwcp150_[1, 2]/Re100_70000_TL150_100000.npz",7.798089e-02,1.063884e-01,31.13%,117.36%,1.116051e-01,2.098384e-01,0.887675,0.010559,11.23%,5.59%
"models/Re100_TLwcp150_[1, 2]/Re100_70000_TL150_200000.npz",7.659708e-02,1.061492e-01,30.86%,117.23%,9.329339e-02,1.972407e-01,0.846045,0.006691,15.40%,33.09%
"models/Re100_TLwcp150_[1, 2]/Re100_80000_TL150_100000.npz",7.950922e-02,1.075039e-01,31.44%,117.98%,1.060580e-01,1.817244e-01,0.847109,0.005809,15.29%,41.91%
"models/Re100_TLwcp150_[1, 2]/Re100_80000_TL150_200000.npz",7.599231e-02,1.065626e-01,30.74%,117.46%,8.957241e-02,1.646678e-01,0.874622,0.007464,12.54%,25.36%
"models/Re100_TLwcp150_[1, 2]/Re100_90000_TL150_100000.npz",7.704557e-02,1.068376e-01,30.95%,117.61%,1.249396e-01,2.993153e-01,0.830815,0.015412,16.92%,54.12%
"models/Re100_TLwcp150_[1, 2]/Re100_90000_TL150_200000.npz",7.663679e-02,1.069730e-01,30.87%,117.69%,7.855390e-02,1.836960e-01,0.896960,0.011427,10.30%,14.27%
models/Re100/Re100_10000.npz,1.775125e-03,4.063479e-03,4.70%,22.94%,3.144719e-02,2.311528e-02,0.952626,0.014700,4.74%,47.00%
models/Re100/Re100_20000.npz,1.075317e-03,1.852852e-03,3.66%,15.49%,2.033499e-02,1.759135e-02,0.980488,0.012062,1.95%,20.62%
models/Re100/Re100_30000.npz,5.523599e-04,1.045770e-03,2.62%,11.64%,1.552609e-02,1.320405e-02,0.986440,0.011695,1.36%,16.95%
models/Re100/Re100_40000.npz,3.784284e-04,8.251301e-04,2.17%,10.34%,1.233273e-02,1.233967e-02,0.988835,0.011462,1.12%,14.62%
models/Re100/Re100_50000.npz,2.593880e-04,7.480436e-04,1.80%,9.84%,1.166133e-02,9.944435e-03,0.990540,0.011234,0.95%,12.34%
models/Re100/Re100_60000.npz,1.725132e-04,6.712216e-04,1.46%,9.32%,9.939275e-03,1.010850e-02,0.991453,0.011147,0.85%,11.47%
models/Re100/Re100_70000.npz,2.473437e-04,6.674223e-04,1.75%,9.30%,1.017406e-02,1.044746e-02,0.992518,0.011100,0.75%,11.00%
models/Re100/Re100_10000.npz,1.775125e-03,4.063479e-03,4.70%,22.94%,3.144719e-02,2.311528e-02,0.952626,0.014700,4.74%,47.00%
models/Re100/Re100_10000.npz,1.775125e-03,4.063479e-03,4.70%,22.94%,3.144719e-02,2.311528e-02,0.952626,0.014700,4.74%,47.00%
models/Re100/Re100_20000.npz,1.075317e-03,1.852852e-03,3.66%,15.49%,2.033499e-02,1.759135e-02,0.980488,0.012062,1.95%,20.62%
