Model Path,MSE_u,MSE_v,Relative Error_u (%),Relative Error_v (%),Residual_u (%),Residual_v (%),Lambda1,Lambda2,Error Lambda1,Error Lambda2
models/base_100/base_100_1000.npz,1.712860e-02,5.403750e-02,14.59%,83.64%,4.414906e-03,4.279415e-03,0.003231,0.000291,99.68%,99.68%
models/base_100/base_100_10000.npz,1.976903e-03,4.270786e-03,4.96%,23.51%,3.147482e-02,2.097434e-02,0.955414,0.014219,4.46%,4.46%
models/base_100/base_100_2000.npz,1.196450e-02,3.149280e-02,12.20%,63.85%,1.476586e-02,2.360440e-02,0.016232,0.000472,98.38%,98.38%
models/base_100/base_100_3000.npz,9.907163e-03,2.576941e-02,11.10%,57.76%,2.059789e-02,3.508429e-02,0.099938,0.002366,90.01%,90.01%
models/base_100/base_100_4000.npz,8.592973e-03,1.884545e-02,10.34%,49.40%,5.737370e-02,7.435797e-02,0.702395,0.011921,29.76%,29.76%
models/base_100/base_100_5000.npz,5.373740e-03,1.052336e-02,8.17%,36.91%,3.752390e-02,5.076222e-02,0.840060,0.012672,15.99%,15.99%
models/base_100/base_100_6000.npz,6.137316e-03,9.153604e-03,8.73%,34.43%,3.653773e-02,3.718428e-02,0.863853,0.013301,13.61%,13.61%
models/base_100/base_100_7000.npz,5.798797e-03,7.526284e-03,8.49%,31.22%,3.196503e-02,3.353610e-02,0.902102,0.014090,9.79%,9.79%
models/base_100/base_100_8000.npz,2.465946e-03,5.617513e-03,5.54%,26.97%,3.302516e-02,2.859682e-02,0.926297,0.015368,7.37%,7.37%
models/base_100/base_100_9000.npz,3.322031e-03,4.688172e-03,6.43%,24.64%,3.287889e-02,2.419290e-02,0.944285,0.014899,5.57%,5.57%
