It: 54000, Loss: 4.108e-02, l1: 0.917, l2: 0.02913, Time: 27.26
It: 55000, Loss: 3.718e-02, l1: 0.910, l2: 0.02678, Time: 27.26
It: 56000, Loss: 3.478e-02, l1: 0.912, l2: 0.02515, Time: 27.16
It: 57000, Loss: 3.313e-02, l1: 0.916, l2: 0.02357, Time: 27.14
It: 58000, Loss: 3.133e-02, l1: 0.918, l2: 0.02313, Time: 27.09
It: 59000, Loss: 2.978e-02, l1: 0.917, l2: 0.02409, Time: 27.24
It: 60000, Loss: 2.803e-02, l1: 0.914, l2: 0.02429, Time: 27.20
Model saved to models/Re100wcplong/Re100wcplong_60000.npz
It: 61000, Loss: 2.696e-02, l1: 0.911, l2: 0.02378, Time: 27.05
It: 62000, Loss: 2.292e-02, l1: 0.898, l2: 0.02272, Time: 27.22
It: 63000, Loss: 1.425e-02, l1: 0.898, l2: 0.01844, Time: 27.19
It: 64000, Loss: 1.176e-02, l1: 0.898, l2: 0.01832, Time: 27.12
It: 65000, Loss: 1.076e-02, l1: 0.900, l2: 0.01828, Time: 26.77
It: 66000, Loss: 1.044e-02, l1: 0.904, l2: 0.01829, Time: 26.53
It: 67000, Loss: 9.844e-03, l1: 0.907, l2: 0.01842, Time: 26.45
It: 68000, Loss: 9.586e-03, l1: 0.909, l2: 0.01845, Time: 26.54
It: 69000, Loss: 9.168e-03, l1: 0.912, l2: 0.01851, Time: 26.51
It: 70000, Loss: 8.978e-03, l1: 0.914, l2: 0.01853, Time: 26.42
Model saved to models/Re100wcplong/Re100wcplong_70000.npz
It: 71000, Loss: 8.694e-03, l1: 0.915, l2: 0.01857, Time: 26.44
It: 72000, Loss: 8.560e-03, l1: 0.917, l2: 0.01871, Time: 26.40
It: 73000, Loss: 8.472e-03, l1: 0.919, l2: 0.01874, Time: 26.41
It: 74000, Loss: 8.165e-03, l1: 0.920, l2: 0.01898, Time: 26.41
It: 75000, Loss: 8.095e-03, l1: 0.921, l2: 0.01920, Time: 26.48
It: 76000, Loss: 7.861e-03, l1: 0.923, l2: 0.01934, Time: 26.54
It: 77000, Loss: 7.877e-03, l1: 0.924, l2: 0.01950, Time: 26.45
It: 78000, Loss: 7.819e-03, l1: 0.925, l2: 0.01974, Time: 26.45
It: 79000, Loss: 7.781e-03, l1: 0.927, l2: 0.01990, Time: 26.42
It: 80000, Loss: 7.375e-03, l1: 0.928, l2: 0.02003, Time: 26.45
Model saved to models/Re100wcplong/Re100wcplong_80000.npz
It: 81000, Loss: 7.212e-03, l1: 0.929, l2: 0.02023, Time: 26.41
It: 82000, Loss: 7.456e-03, l1: 0.930, l2: 0.02039, Time: 26.54
It: 83000, Loss: 7.116e-03, l1: 0.931, l2: 0.02046, Time: 26.48
It: 84000, Loss: 6.964e-03, l1: 0.932, l2: 0.02050, Time: 26.39
It: 85000, Loss: 6.905e-03, l1: 0.933, l2: 0.02051, Time: 26.40
It: 86000, Loss: 7.035e-03, l1: 0.934, l2: 0.02062, Time: 26.40
It: 87000, Loss: 6.740e-03, l1: 0.936, l2: 0.02053, Time: 26.38
It: 88000, Loss: 6.472e-03, l1: 0.937, l2: 0.02058, Time: 26.39
It: 89000, Loss: 6.488e-03, l1: 0.938, l2: 0.02056, Time: 26.40
It: 90000, Loss: 6.586e-03, l1: 0.938, l2: 0.02046, Time: 26.42
Model saved to models/Re100wcplong/Re100wcplong_90000.npz
It: 91000, Loss: 6.360e-03, l1: 0.939, l2: 0.02050, Time: 26.45
It: 92000, Loss: 6.236e-03, l1: 0.940, l2: 0.02038, Time: 26.51
It: 93000, Loss: 6.247e-03, l1: 0.941, l2: 0.02041, Time: 26.56
It: 94000, Loss: 6.120e-03, l1: 0.942, l2: 0.02033, Time: 26.52
It: 95000, Loss: 6.098e-03, l1: 0.942, l2: 0.02028, Time: 26.48
It: 96000, Loss: 6.166e-03, l1: 0.943, l2: 0.02023, Time: 26.45
It: 97000, Loss: 6.009e-03, l1: 0.944, l2: 0.02017, Time: 26.53
It: 98000, Loss: 5.976e-03, l1: 0.944, l2: 0.02012, Time: 26.43
It: 99000, Loss: 5.871e-03, l1: 0.945, l2: 0.02002, Time: 26.36
It: 100000, Loss: 5.915e-03, l1: 0.945, l2: 0.01996, Time: 26.50
Model saved to models/Re100wcplong/Re100wcplong_100000.npz
It: 101000, Loss: 6.028e-03, l1: 0.946, l2: 0.01995, Time: 26.52
It: 102000, Loss: 5.906e-03, l1: 0.946, l2: 0.01973, Time: 26.49
It: 103000, Loss: 5.601e-03, l1: 0.947, l2: 0.01972, Time: 26.51
It: 104000, Loss: 5.502e-03, l1: 0.948, l2: 0.01964, Time: 26.53
It: 105000, Loss: 5.740e-03, l1: 0.948, l2: 0.01960, Time: 26.52
It: 106000, Loss: 5.625e-03, l1: 0.948, l2: 0.01958, Time: 26.49
It: 107000, Loss: 5.814e-03, l1: 0.949, l2: 0.01951, Time: 26.53
